Prey_Aphia_ID,Prey_Sci_Name,Common_name,Family,Genus,Subgenus,Species,Subspecies,Comments,General_20,n_Occurrences,X.FO,Kingdom,Phylum,Class,Order
272040,Anotopterus nikparini,North Pacific daggertooth,Anotopteridae,Anotopterus,,nikparini,,,fish,1,0.001,Animalia,Chordata,Actinopterygii,Aulopiformes
126352,Arctozenus risso,Spotted barracudina,Paralepididae,Arctozenus,,risso,,,fish,47,0.05,Animalia,Chordata,Actinopterygii,Aulopiformes
127307,Argyropelecus affinis,Pacific hatchet fish,Sternoptychidae,Argyropelecus,,affinis,,,fish,4,0.004,Animalia,Chordata,Actinopterygii,Stomiiformes
125509,Bathylagidae,Family: Deep-sea smelt,Bathylagidae,,,,,,fish,84,0.09,Animalia,Chordata,Actinopterygii,Argentiniformes
712444,Bathylagoides wesethi,Snubnose blacksmelt,Bathylagidae,Bathylagoides,,wesethi,,,fish,3,0.003,Animalia,Chordata,Actinopterygii,Argentiniformes
272919,Bathylagus pacificus,Slender blacksmelt,Bathylagidae,Bathylagus,,pacificus,,,fish,9,0.01,Animalia,Chordata,Actinopterygii,Argentiniformes
125681,Benthalbella,Genus: Pearleyes,Scopelarchidae,Benthalbella,,,,,fish,1,0.001,Animalia,Chordata,Actinopterygii,Aulopiformes
254572,Benthalbella dentata,Northern pearleye,Scopelarchidae,Benthalbella,,dentata,,,fish,1,0.001,Animalia,Chordata,Actinopterygii,Aulopiformes
272656,Ceratoscopelus townsendi,Dogtooth lampfish,Myctophidae,Ceratoscopelus,,townsendi,,,fish,353,0.38,Animalia,Chordata,Actinopterygii,Myctophiformes
154226,Chauliodontinae,Genus: Barbeled dragonfishes,Stomiidae,,,,,,fish,1,0.001,Animalia,Chordata,Actinopterygii,Stomiiformes
275055,Chauliodus macouni,Pacific Viperfish,Stomiidae,Chauliodus,,macouni,,,fish,21,0.02,Animalia,Chordata,Actinopterygii,Stomiiformes
